system_id,phase,kind,records,input_tokens,output_tokens,total_tokens,model_calls,tool_calls,duration_ms,estimated_cost
agentic_map,index,system,20,1203417,870153,2073570,388,0,6594780.9191639535,
agentic_map,index,workflow,20,0,0,0,0,0,6599174.742996227,
agentic_map,query,system,60,963822,194660,1158482,180,120,1850116.2664117292,
agentic_map,query,workflow,62,0,0,0,0,0,1904699.9818789773,
flat_vector,index,system,20,988735,0,988735,22,0,554805.4179181345,
flat_vector,index,workflow,20,0,0,0,0,0,555431.1235807836,
flat_vector,query,system,60,753191,129414,882605,120,60,994524.4786231779,
flat_vector,query,workflow,63,0,0,0,0,0,1027051.3730393723,
hierarchical_map,index,system,20,1694092,906676,2600768,514,0,7869304.699580651,
hierarchical_map,index,workflow,20,0,0,0,0,0,7876889.872626867,
hierarchical_map,query,system,60,972807,200101,1172908,180,120,1817475.0597556122,
hierarchical_map,query,workflow,61,0,0,0,0,0,1835347.0998289995,
map_reduce,index,system,20,1776745,874694,2651439,644,0,7579356.416757684,
map_reduce,index,workflow,20,0,0,0,0,0,1399383.7414965965,
map_reduce,query,system,118,1873000,390243,2263243,354,236,3756871.54396018,
map_reduce,query,workflow,120,0,0,0,0,0,3790286.660465412,
outline_then_fill,index,system,20,2679514,1084639,3764153,531,0,9037075.345329009,
outline_then_fill,index,workflow,20,0,0,0,0,0,9089607.753416989,
outline_then_fill,query,system,60,1016692,202296,1218988,180,120,1816569.3536675535,
outline_then_fill,query,workflow,63,0,0,0,0,0,1882751.97816547,
refine,index,system,20,1793277,1181492,2974769,528,0,9649576.259165537,
refine,index,workflow,20,0,0,0,0,0,8818510.398124345,
refine,query,system,103,1611357,331747,1943104,309,206,3400761.3848340698,
refine,query,workflow,105,0,0,0,0,0,3437644.88029154,
stuffing,index,system,20,289265,123884,413149,73,0,931073.2035022229,
stuffing,index,workflow,20,0,0,0,0,0,933014.6208731458,
stuffing,query,system,119,1480607,357307,1837914,357,238,3475213.9996238984,
stuffing,query,workflow,120,0,0,0,0,0,3492534.4952140003,
